ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
177,سيس,سَيِسَ,سيس,1,سَيِسَ,يَسْيِسُ,اِسْيِسْ
178,صرم,صَرَمَ,صرم,1,صَرَمَ,يَصْرِمُ,اِصْرِمْ
179,لزج,لَزِجَ,لزج,1,لَزِجَ,يَلْزِجُ,اِلْزِجْ
180,غلق,غَلَقَ,غلق,1,غَلَقَ,يَغْلِقُ,اِغْلِقْ
181,بشع,بَشِعَ,بشع,1,بَشِعَ,يَبْشِعُ,اِبْشِعْ
182,شوه,شَوِهَ,شوه,1,شَوِهَ,يَشْوِهُ,اِشْوِهْ
183,لمس,لَمَسَ,لمس,1,لَمَسَ,يَلْمِسُ,اِلْمِسْ
184,شبك,شَبَكَ,شبك,1,شَبَكَ,يَشْبِكُ,اِشْبِكْ
185,هجع,هَجَعَ,هجع,1,هَجَعَ,يَهْجِعُ,اِهْجِعْ
186,شبع,شَبِعَ,شبع,1,شَبِعَ,يَشْبِعُ,اِشْبِعْ
187,شخب,شَخَبَ,شخب,1,شَخَبَ,يَشْخِبُ,اِشْخِبْ
188,عدل,عَدَلَ,عدل,1,عَدَلَ,يَعْدِلُ,اِعْدِلْ
189,قضب,قَضَبَ,قضب,1,قَضَبَ,يَقْضِبُ,اِقْضِبْ
190,صدع,صَدَعَ,صدع,1,صَدَعَ,يَصْدِعُ,اِصْدِعْ
191,صخب,صَخِبَ,صخب,1,صَخِبَ,يَصْخِبُ,اِصْخِبْ
192,حدج,حَدَجَ,حدج,1,حَدَجَ,يَحْدِجُ,اِحْدِجْ
193,قرس,قَرَسَ,قرس,1,قَرَسَ,يَقْرِسُ,اِقْرِسْ
194,رثم,رَثِمَ,رثم,1,رَثِمَ,يَرْثِمُ,اِرْثِمْ
195,علق,عَلَقَ,علق,1,عَلَقَ,يَعْلِقُ,اِعْلِقْ
196,نذر,نَذِرَ,نذر,1,نَذِرَ,يَنْذِرُ,اِنْذِرْ
197,كتف,كَتَفَ,كتف,1,كَتَفَ,يَكْتِفُ,اِكْتِفْ
198,جهز,جَهَزَ,جهز,1,جَهَزَ,يَجْهِزُ,اِجْهِزْ
199,خفر,خَفِرَ,خفر,1,خَفِرَ,يَخْفِرُ,اِخْفِرْ
200,حبر,حَبِرَ,حبر,1,حَبِرَ,يَحْبِرُ,اِحْبِرْ
201,رضع,رَضِعَ,رضع,1,رَضِعَ,يَرْضِعُ,اِرْضِعْ
202,جهش,جَهَشَ,جهش,1,جَهَشَ,يَجْهِشُ,اِجْهِشْ
203,جهد,جَهَدَ,جهد,1,جَهَدَ,يَجْهِدُ,اِجْهِدْ
204,قضم,قَضِمَ,قضم,1,قَضِمَ,يَقْضِمُ,اِقْضِمْ
205,خصب,خَصَبَ,خصب,1,خَصَبَ,يَخْصِبُ,اِخْصِبْ
206,حنث,حَنِثَ,حنث,1,حَنِثَ,يَحْنِثُ,اِحْنِثْ
207,قلق,قَلَقَ,قلق,1,قَلَقَ,يَقْلِقُ,اِقْلِقْ
208,حور,حَوِرَ,حور,1,حَوِرَ,يَحْوِرُ,اِحْوِرْ
209,شنب,شَنِبَ,شنب,1,شَنِبَ,يَشْنِبُ,اِشْنِبْ
210,حمر,حَمِرَ,حمر,1,حَمِرَ,يَحْمِرُ,اِحْمِرْ
211,حمس,حَمِسَ,حمس,1,حَمِسَ,يَحْمِسُ,اِحْمِسْ
212,خبز,خَبَزَ,خبز,1,خَبَزَ,يَخْبِزُ,اِخْبِزْ
213,ظرب,ظَرِبَ,ظرب,1,ظَرِبَ,يَظْرِبُ,اِظْرِبْ
214,حبط,حَبَطَ,حبط,1,حَبَطَ,يَحْبِطُ,اِحْبِطْ
215,هزع,هَزَعَ,هزع,1,هَزَعَ,يَهْزِعُ,اِهْزِعْ
216,حنط,حَنَطَ,حنط,1,حَنَطَ,يَحْنِطُ,اِحْنِطْ
217,حنف,حَنِفَ,حنف,1,حَنِفَ,يَحْنِفُ,اِحْنِفْ
